Index,Description,Country,Price
1,Argentina carbon tax,Argentina,5.54
2,Canada federal fuel charge,Canada,31.83
3,Chile carbon tax,Chile,5
4,Columbia carbon tax,Columbia,5
5,Denmark carbon tx,Denmark,28.14
6,Estonia carbon tax,Estonia,2.35
7,Finland carbon tax,Finland,72.83
8,France carbon tax,France,52.39
9,Iceland carbon tax,Iceland,34.83
10,Ireland carbon tax,Ireland,39.35
11,Japan carbon tax,Japan,2.61
12,Latvia carbon tax,Latvia,14.1
13,Liechtenstein carbon tax,Liechtenstein,101.47
14,Luxembourg carbon tax,Luxembourg,40.12
15,Mexico carbon tax,Mexico,3.18
16,Netherlands carbon tax,Netherlands,35.24
17,Norway carbon tax,Norway,69.33
19,Portugal carbon tax,Portugal,28.19
20,Singapore carbon tax,Singapore,3.71
21,Slovenia carbon tax,Slovenia,20.32
22,South Africa carbon tax,South Africa,9.15
23,Spain carbon tax,Spain,17.62
24,Sweden carbon tax,Sweden,137.24
25,Switzerland carbon tax,Switzerland,101.47
26,UK carbon price support,UK,24.8
